Instrument,Year,AsOfDate,Currency,MarketCap_EUR
DHER.DE,2014,2014-12-31,EUR,
ORSTED.CO,2014,2014-12-31,EUR,
EVKn.DE,2014,2014-12-31,EUR,12640250000.0
FREG.DE,2014,2014-12-31,EUR,23369726035.24
SECUb.ST,2014,2014-12-31,EUR,3570310001.93482
TEL2b.ST,2014,2014-12-31,EUR,3699337547.09518
JYSK.CO,2014,2014-12-31,EUR,4037059906.16554
AALB.AS,2014,2014-12-31,EUR,2713085256.07
GJFG.OL,2014,2014-12-31,EUR,6541873596.99729
MANTA.HE,2014,2014-12-31,EUR,
RIO.L,2014,2014-12-31,EUR,65432575578.379
HLN.L,2014,2014-12-31,EUR,
MAERSKb.CO,2014,2014-12-31,EUR,30445698261.3343
RKT.L,2014,2014-12-31,EUR,46336043444.6914
VALMT.HE,2014,2014-12-31,EUR,1564586622.36
SGEF.PA,2014,2014-12-31,EUR,26851051639.32
ENX.PA,2014,2014-12-31,EUR,1875649129.73038
ALVG.DE,2014,2014-12-31,EUR,62768950000.0
LSEG.L,2014,2014-12-31,EUR,9918472756.48612
QIA.DE,2014,2014-12-31,EUR,4202537308.8332
HOLN.S,2014,2014-12-31,EUR,9608897289.36973
GASI.MI,2014,2014-12-31,EUR,26529120742.32
ICGIN.L,2014,2014-12-31,EUR,1749715884.01336
HUH1V.HE,2014,2014-12-31,EUR,2376116489.25
ENT.L,2014,2014-12-31,EUR,363833932.720406
PHP.L,2014,2014-12-31,EUR,530026796.349422
LTMC.MI,2014,2014-12-31,EUR,
SOBIV.ST,2014,2014-12-31,EUR,2248773684.93746
SN.L,2014,2014-12-31,EUR,13671892034.9762
SEBa.ST,2014,2014-12-31,EUR,22918016883.0596
SWEDa.ST,2014,2014-12-31,EUR,22503714230.7176
MOWI.OL,2014,2014-12-31,EUR,4731074637.0503
RECI.MI,2014,2014-12-31,EUR,2731174537.36
SDFGn.DE,2014,2014-12-31,EUR,4385931000.0
BALF.L,2014,2014-12-31,EUR,1881766429.72085
ALLN.S,2014,2014-12-31,EUR,1836875842.55777
BOLL.PA,2014,2014-12-31,EUR,10349361776.0
BUCN.S,2014,2014-12-31,EUR,2082908476.11244
FMEG.DE,2014,2014-12-31,EUR,19232145489.65
AXFO.ST,2014,2014-12-31,EUR,2576220827.91577
MICP.PA,2014,2014-12-31,EUR,13966961122.53
ATCOa.ST,2014,2014-12-31,EUR,19589207803.0987
NEXS.PA,2014,2014-12-31,EUR,1068106098.725
SJP.L,2014,2014-12-31,EUR,5446588996.32147
BLND.L,2014,2014-12-31,EUR,10193767635.7633
UPM.HE,2014,2014-12-31,EUR,7349540575.23
TELIA.ST,2014,2014-12-31,EUR,22479118421.8853
NIBEb.ST,2014,2014-12-31,EUR,2100674398.75653
SAGAb.ST,2014,2014-12-31,EUR,935388508.44417
